Dimension Logical Order,Dimension Lógica órden
Dimensions,Dimensiones
Framework Code,Framework Code
Logical Order,Logical Order
Timestamp,Timestamp
Hierarchy Code,Código de Jerarquía
Image ID,ID Imágen
Node ID,ID Nodo
Children Order,órden hija
Indentation,Indentation
ParentNode,Nodo Padre
Presentation Order,órden Presentación
Display Order,Mostrar órden
Key Value,Key Value
Variant Id,ID Variante
Quantity,Cantidad
Store Id,ID Tienda
Blocked On eCommerce,Bloqueado en ecommerce
Base Unit Of Measure,Unidad Base de Medida
Unit Price,Precio por Unidad
Gross Weight,Peso Bruto
Item Family Code,Código Familia Producto
Product Group ID,ID Grupo Producto
Purch Unit Of Measure,Purch Unit Of Measure
Salse Unit Of Measure,Salse Unit Of Measure
Scale Item,Escala Producto
Tax Item Group ID,ID Grupo Impuesto Producto
Unit Volume,Unidad Volumen
Units Per Parcel,Unidad por Parcela
Vendor Id,ID Vendedor
Vendor Item Id,ID Producto Vendedor
Zero Price ValId,Precio Cero Valido
Order,órden
Quantity Per Unit Of Measure,Cantidad por Unidad de Medida
Variant Dimension 1,Dimensiones Variante 1
Variant Dimension 2,Dimensiones Variante 2
Variant Dimension 3,Dimensiones Variante 3
Variant Dimension 4,Dimensiones Variante 4
Variant Dimension 5,Dimensiones Variante 5
Variant Dimension 6,Dimensiones Variante 6
Item Category ID,ID Categorá Producto
Name,Nombre
City,Ciudad
Click And Collect,Click And Collect
Country,País
County,Provincia
Currency,Modena
DefaultCustomerAccount,DefaultCustomerAccount
Functionality Profile,Perfil Funcionalidad
Latitude,Latitud
Longitude,Longitud
Phone,Celular
State,Estado
Street,Calle
TaxGroup,Grupo Impuestos
Zip Code,Código Postal
Unit Decimals,Unidades Decimales
